Timestamp,Motor 1 Power,Motor 2 Power,Motor 3 Power,Motor 4 Power,Motor 5 Power,Motor 6 Power,Motor 7 Power,Motor 8 Power,Motor 9 Power,Motor 10 Power,Motor 11 Power,Motor 12 Power,Motor 1 Torque,Motor 2 Torque,Motor 3 Torque,Motor 4 Torque,Motor 5 Torque,Motor 6 Torque,Motor 7 Torque,Motor 8 Torque,Motor 9 Torque,Motor 10 Torque,Motor 11 Torque,Motor 12 Torque,Motor 1 Velocity,Motor 2 Velocity,Motor 3 Velocity,Motor 4 Velocity,Motor 5 Velocity,Motor 6 Velocity,Motor 7 Velocity,Motor 8 Velocity,Motor 9 Velocity,Motor 10 Velocity,Motor 11 Velocity,Motor 12 Velocity,Battery Voltage
49,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0023,-0.1784,0.0950,0.1098,0.0048,-0.0181,0.0034,0.0142,0.0226,0.1229,-0.1651,-0.0577,0.0805,-0.1447,-0.1024,0.1110,-0.0236,-0.0126,-0.0324,0.0121,-0.0374,0.3685,-0.1568,0.1252,23.3750
50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0104,-0.2008,0.0698,0.1270,-0.0058,-0.0181,0.0029,0.0124,0.0042,0.1565,-0.1909,-0.0300,0.0413,0.0161,0.0028,-0.0169,-0.0067,0.0077,0.0094,-0.0042,-0.0253,0.1901,-0.1174,0.0099,23.2500
51,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0030,-0.1767,0.0578,0.1075,-0.0043,-0.0220,-0.0002,0.0070,0.0142,0.1490,-0.2079,-0.0326,-0.0984,-0.0633,-0.0248,0.0977,-0.0191,0.0091,0.0145,-0.0321,0.1123,-0.0783,0.2266,0.0149,23.3750
52,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0012,-0.1699,0.0464,0.1156,-0.0013,-0.0169,-0.0011,0.0124,0.0273,0.1368,-0.1935,-0.0298,-0.0249,-0.0096,-0.0032,-0.0057,-0.0041,-0.0012,0.0129,-0.0031,0.0168,0.0033,-0.0238,0.0345,23.2917
53,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0069,-0.1724,0.0648,0.1230,-0.0029,-0.0175,0.0007,0.0101,0.0103,0.1332,-0.1813,-0.0335,-0.0085,-0.0008,-0.0120,0.0028,0.0003,0.0203,-0.0012,0.0030,0.0144,-0.0038,0.0080,-0.0080,23.3333
54,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0090,-0.1726,0.0610,0.1235,-0.0010,-0.0193,0.0036,0.0095,0.0133,0.1314,-0.1841,-0.0362,-0.0001,-0.0054,0.0016,-0.0047,-0.0006,-0.0072,0.0110,0.0126,0.0085,0.0101,-0.0128,0.0131,23.3333
55,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0071,-0.1746,0.0620,0.1237,-0.0043,-0.0205,-0.0022,0.0087,0.0135,0.1335,-0.1800,-0.0316,-0.0051,-0.0062,-0.0041,0.0009,-0.0143,-0.0119,0.0099,-0.0005,-0.0027,-0.0271,-0.0043,0.0068,23.3750
56,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0081,-0.1755,0.0628,0.1261,-0.0020,-0.0193,0.0025,0.0112,0.0154,0.1340,-0.1789,-0.0383,0.0122,0.0010,-0.0083,0.0022,-0.0005,0.0038,0.0167,-0.0026,-0.0111,-0.0112,-0.0037,-0.0051,23.3750
57,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0070,-0.1740,0.0628,0.1242,0.0038,-0.0199,0.0031,0.0129,0.0090,0.1335,-0.1814,-0.0353,0.0015,-0.0085,0.0106,-0.0103,-0.0067,-0.0095,-0.0058,-0.0065,0.0028,0.0038,0.0063,0.0127,23.2917
58,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0009,-0.1722,0.0638,0.1237,-0.0032,-0.0164,0.0019,0.0095,0.0131,0.1328,-0.1781,-0.0365,0.0000,-0.0111,0.0022,-0.0013,0.0061,0.0192,-0.0009,-0.0064,0.0038,-0.0094,-0.0213,-0.0063,23.3333
